ID	Biography
Pd265828	John Winwood.  Bristol marine engineer.  Tendered to build engines for Great Western, unsuccessful. Briefly auditor of Great Western Steamship Compnay, 1838-9.  Retired 1840.
P0ad5108	Robert Young.  Marine engineer and mutual correspondent of Burnel and John Laird.
Pfc20d19	John Barnes. Mechanical engineer who built steeple engines.    Brunel sought his endorsement for this engine design in propeller-driven ships - a design rejected by both marine engineers and the Royal Navy .  No evidence of support.
P73e4d92	Sir John Barrow, Secretary to the Admiralty, 1840-45.
P072e571	J. P. Bartum. Shareholder in the Great Western Steamship Company.
P217f15e	J. Bates. Shareholder in the Great Western Steamship Company.
Pa41a6fd	Captain Chappel.  Controller of Channel Packets, Royal Navy.  Corresponded of both Brunel and pioneering iron ship-builder John Laird during propeller trials of Archimedes.  Later Secretary of the Royal Mail, who purchased the Great Western on his advice.
P3d1ff4b	Captain Crozier, Royal Navy. Shareholder in the Great Western Steamship Company.  (1840)
P6343c63	Bryan Donkin.  Inventor and mechanical engineer. Pioneer of early factory production processes, including food canning (1809).  Met Marc Brunel during his work at Chatham Docks. Mutual associate of Maudslay, Sons & Field.  Served as Director of Thames Tunnel.  Asked by Isambard Brunel to survey and review early trunk engine designs for the Great Britain steamship, which was obliged.
P0cfbafc	William Fairbairn.  Mechanical and civil engineer and pioneer of iron shipbuilding from 1830.  Supplied vessels to both P&O and the Royal Navy during the mid 1830s.  Consulted by Brunel on construction techniques early in the process of building the Great Britain.
Pc60c1c0	John Grantham.  Pioneering iron shipbuilder, based in Liverpool.  Built several small coastwise and river iron steamers and published a treatise on Iron ship building in 1842.  Corresponded closely with Guppy and Brunel during construction of the Great Britain.  Mutual associate of the Rennies.  Designed the first Atlantic iron screw steamer to be launched after the Great Britain, the Sarah Sands, in 1847.
Pfcfda92	Cpt. W. Hamilton Royal Naval Officer.
P4b3299f	Francis Humphries.  Hired as superintending engineer on the great Britain Steamship.  In constant friction with Brunel over engine design, who disliked Humphres trunk engine.  Died in 1841, suceeded by Thomas Guppy.
P707fbdc	A.P. Johnson. Shareholder in the Great Western Steamship Company.
P22dfb4d	John Laird.  Pioneering iron ship builder based in Birkenhead, Liverpool.  Correspondent of William Fairbairn and Edward Chapell.  Chapell informed Laird that the Great Western Steamship Company would adopt a propeller design during the Archimedes trials.  Younger brother, MacGregor Laird, was chief engineer to the Great Western Steamship Company's first rival, the British & American Steam Navigation Company.
P7d72945	W. Morgan. Shareholder in the Great Western Steamship Company.
P0893faf	G. Norman. Shareholder in the Great Western Steamship Company.
P4d72c5c	William Edward Parry.  Controller of Steam at the Royal Navy.  Brunel's most frequent correspondent during Archimedes and Rattler trials.
P57b2427	George Rennie.  London-based mechanical engineer and manufacturer.  Rennie was a founding member of the screw propeller company, which built the Archimedes in order to showcase the potential of Francis Petit Smith's Screw.  Rennies workshop build the engines for the Archimedes. Brunel maintained relations with Rennie regarding both marine and civil engineering issues, but did not seek written advice on the steamship projects.
P8d92578	Francis Petit Smith. Original patentee of succesful screw-propelling configuration, adopted by the screw propeller company for the prototype ship Archimedes.  Frequently conversant with brunel in both Archimedes and Rattler trials.
P6b95eb4	Mr Smith. Shareholder in Great Western Steamship Company.
P2ac1cdd	Mr Stedder.  Bath-based investor in Great Western Railway and Great Western Steamship.
